target_contrast_gene_name,Rest,Stim8hr,Stim48hr
ZBED3,-0.246171946625827,-0.1806191173455316,-0.9992391404797258
ZBED4,-10.275861413042923,-10.585186983719485,-11.926648181795722
ZBED5,-2.796841604112044,-4.1404435247517135,-5.58755847237488
ZBED6,0.0,0.0,0.0
ZBP1,-6.556392588542683,-0.818241381610868,-3.5321998145865914
ZBTB1,-18.42102410966587,-14.651081780216764,-17.191283507030608
ZBTB10,-1.808177827402764,-4.061548246269036,-4.739215667851528
ZBTB12,-1.1624833615780996,-3.961256612317949,-3.0720138052828205
ZBTB14,-4.938629661369867,-5.70006170167103,-5.75542747996358
ZBTB16,-2.161384726719207,-1.4179989371908015,-2.367498397857264
ZBTB17,-3.643209389136052,-3.890945993786365,-4.418404957891902
ZBTB18,-2.6408200006392613,-2.80612212125336,-1.6485071939457454
ZBTB2,-15.988728554775154,-17.292254657295832,-9.194452357286604
ZBTB21,-12.30067016404712,-12.938185306068648,-14.63331507363556
ZBTB22,-10.112712818916812,-9.875810414072305,-13.446925386912792
ZBTB24,-3.4888947545173985,-3.586599840826616,-2.4753174812211864
ZBTB25,-6.780658638497177,-10.494933175738971,-10.135233266440675
ZBTB26,-11.537698389521749,-12.602887867921892,-12.41805416819887
ZBTB3,-6.158082111474671,-5.436845621484657,-7.103583175264402
ZBTB32,-6.853109837806662,-23.138835505146588,-22.430206441855866
ZBTB33,-10.72722290877939,-11.616163113416624,-10.48467175332027
ZBTB34,-4.038625442400183,-4.30283287188733,-4.166079364626639
ZBTB37,-7.904583848597032,-8.430173665806137,-8.96460313100007
ZBTB38,-6.861181339899975,-5.9600884664251765,-7.235341188022855
ZBTB39,-3.994918153831857,-7.977099686313591,-1.959482058162389
ZBTB40,-8.498656628143225,-9.39307007377171,-5.583668540785885
ZBTB41,-8.795260918034083,-9.420624609527865,-10.09437572717057
ZBTB42,-5.850028108665903,-7.609837632612301,-3.860756133438302
ZBTB43,-2.7746578882812907,-3.76620101414188,-3.5812670252957948
ZBTB44,-6.2925875222856895,-6.946520667849085,-5.510860058019418
ZBTB45,-9.86094697170694,-12.906304537407108,-10.093207165662612
ZBTB46,,-0.1711218067730102,0.0594130328367302
ZBTB47,-0.8480166352536688,-1.1162460946463697,-1.768681723978338
ZBTB48,-8.468286130009403,-8.891025152808012,-8.844260302276343
ZBTB49,-7.058968179653078,-6.03082882107668,-4.935597233226553
ZBTB5,-10.11677453774002,-10.56399780193316,-13.254238426990094
ZBTB6,-8.198619386567886,-10.455766655775342,-10.816930355528292
ZBTB7A,-9.691441830183363,-6.419756333688941,-5.100918128762615
ZBTB7B,-9.05035392672891,-5.595269815697328,-10.670250518011228
ZBTB8A,-1.578916385882618,-1.1936983166731363,-1.2526660063660586
ZBTB8B,0.0,0.0,0.0
ZBTB8OS,-1.1147967336569162,,
ZBTB9,-4.621534793281625,-7.327494528440218,-2.4982867349356885
ZC2HC1A,-5.85234062711105,-4.045935456338953,-5.670933369971615
ZC3H10,-9.987030323400814,-11.371514768222836,-9.241659409470405
ZC3H11A,0.0,0.0,0.0
ZC3H12A,-6.122543931790236,-7.238053867525023,-2.228703361447119
ZC3H12B,-0.5860321133212849,-0.2047556161315328,-0.7613665808015421
ZC3H12C,-2.5355913941494563,-6.506586518339331,-6.921737397842231
ZC3H12D,-8.657772245300666,-12.256256834394948,-16.965548601461244
ZC3H14,-5.681501189766763,-10.870561038788043,-8.512968800227728
ZC3H15,-18.01345756754523,-28.286174056819227,-23.28037182814637
ZC3H3,-7.023116329609046,-6.518501073406332,-7.11616651839977
ZC3H4,-10.671269807522371,-9.057831561040478,-4.259608386886354
ZC3H6,-10.329248668000767,-8.286097190627837,-15.408351091585873
ZC3H7A,-8.518379369444794,-8.99432710761497,-9.831216959017198
ZC3H7B,-18.10651952091963,-27.90805799781189,-18.155638003209106
ZC3HAV1,-6.347961174439754,-4.364391235974322,-1.5955580506716898
ZC3HAV1L,-7.6416954478997825,-10.903074239634035,-14.034650254801242
ZC3HC1,-4.819367252238103,-5.804530836330054,-3.9751212334433497
ZC4H2,-5.249951695863604,-4.083053621536825,-5.378823017861245
ZCCHC10,-6.375621188001169,-7.742773521472039,-7.242638971305102
ZCCHC12,0.0,0.0,0.0
ZCCHC14,-3.947130513729099,-5.836373645054684,-4.74970307495033
ZCCHC17,-9.108263555901926,-10.902404070138797,-9.069246070890564
ZCCHC18,-0.2477750162475419,-0.4145371108202892,-0.0544763255181836
ZCCHC2,-7.285016198744352,-9.34520713476769,-6.930407559100129
ZCCHC24,-2.826959485116817,-3.3464553607480827,-7.108843974357579
ZCCHC3,-17.840577326472484,-20.552360529706583,-14.99052002236539
ZCCHC4,-5.779322611412998,-8.734366254362689,-9.022636611351071
ZCCHC7,-14.5405831432178,-18.612227308429123,-16.238555264667223
ZCCHC8,-8.429391631014173,-7.119795307819605,-6.712984476737679
ZCRB1,-4.833571347593415,-4.944611850180193,-6.178005614476497
ZCWPW1,-4.326847549304538,-3.87814706674972,-4.462627202583376
ZCWPW2,-2.0639245714832817,-1.005580283778996,-1.9751526825133847
ZDBF2,-5.590057199823335,-5.231436648818559,-9.090844823056033
ZDHHC11,0.0,0.0,0.0
ZDHHC11B,0.0,0.0,0.0
ZDHHC12,-8.553946802688422,-4.700776833309566,-3.9131062456207375
ZDHHC13,-10.52418857056593,-12.03381510004018,-15.37627029965066
ZDHHC14,-9.600565472910874,-10.723187842307183,-7.824002277477985
ZDHHC15,0.0,0.0,0.0
ZDHHC16,-12.402861717467248,-14.300857838270936,-11.644327152972888
ZDHHC17,-15.506126901393744,-14.138778608869211,-14.79909452690974
ZDHHC18,-11.706961945570136,-14.97150269770523,-11.474991333703692
ZDHHC2,-10.23095332387946,-7.104930857749398,-9.06111142643718
ZDHHC20,-22.618727629325992,-20.17688795588186,-23.16387553656182
ZDHHC21,-11.277727742417284,-13.03286103901964,-11.858507241400774
ZDHHC23,-2.4765561912211256,-2.460390012870626,-2.437075931029276
ZDHHC24,-5.5640880243161295,-5.797274441953262,-6.377711640876118
ZDHHC3,-6.548533202153533,-7.36649494218252,-5.332961189823123
ZDHHC4,-10.205756253403404,-7.962516414803576,-11.485913160692116
ZDHHC5,-24.61817949608957,-34.45560224526405,-30.5838952651167
ZDHHC6,-19.14603113706617,-22.235857343532988,-20.31570613450049
ZDHHC7,-7.093366249721295,-7.784360980573238,-6.874251292922903
ZDHHC8,-10.904199122094782,-14.070963395333631,-7.457278876777051
ZDHHC9,-3.9483831047959246,-9.888292973141109,-7.52606122353713
ZEB1,-11.909309207876904,-15.778813725195413,-15.701444962041569
ZEB2,0.8366685403807966,-0.7173894861221386,1.1709137976906527
ZER1,-11.240374590748386,-11.005081748257927,-13.374808640213235
ZFAND1,-19.309128631648395,-26.83807977439686,-26.818375724746463
ZFAND2A,-12.994494889015954,-16.933620228816242,-12.409935722704637
ZFAND2B,-12.700718836510593,-8.42986205511267,-7.723172854467314
ZFAND3,-17.46584261198934,-18.39486848389779,-20.17469036972334
ZFAND4,-11.430349574311668,-8.880963648633747,-7.46458943370718
ZFAND5,-4.785156197707628,-7.029213680261002,-5.240985397147335
ZFAND6,0.0,0.0,0.0
ZFAT,-5.922860176453248,-6.518661115276294,-4.28033836571066
ZFC3H1,-8.993310625532938,-9.93535944785156,-13.866931366467751
ZFHX2,-1.5456318527245274,-3.175953556761021,-3.227032804586846
ZFHX3,-1.137364865230892,-0.5344456321528317,-0.3331119121485564
ZFHX4,0.0,0.0,0.0
ZFP1,-11.630568072172744,-12.053105799911888,-11.625325673798582
ZFP14,-6.696584246794346,-4.057845472043146,-5.408606986680147
ZFP28,-1.7287407571832971,-1.5711197985097736,-3.448472350950734
ZFP3,-5.721789059594201,-4.56611231649343,-4.243502877732674
ZFP30,-7.778194323947219,-7.923224168385607,-8.608858452298783
ZFP36,-11.93128387467326,-6.986008427183221,-9.123883764967236
ZFP36L1,-9.510776865667625,-14.49156995637926,-10.830839604403518
ZFP36L2,-7.691956423571416,-9.066895845523485,-5.381679713458031
ZFP37,-1.7475828713761166,-1.900070884179355,-2.285434204597208
ZFP41,-6.429065574917681,-8.529159444765702,-6.79403285892303
ZFP42,0.0,0.0,0.0
ZFP57,-1.8837164789000984,-1.881795155402065,-2.12099636962263
ZFP62,-10.021339507869463,-10.80763225286423,-9.407601459192414
ZFP64,-8.176190442635782,-10.551271375372172,-10.24110654015912
ZFP69,-2.4713851251209484,-3.3077049110019985,-3.487134517256091
ZFP69B,-2.183092533653607,-4.401317303868095,-6.8997809255724745
ZFP82,-6.1235418528062295,-7.327491843709193,-6.684311524923164
ZFP90,-9.930724006249031,-7.013709473726834,-11.266598875924696
ZFP91,-5.773350493105667,-7.514608039209902,-4.982319618850246
ZFP92,-1.642819847116891,-3.247347142863235,-1.1332536219930445
ZFPL1,-3.731709557653112,-4.953698704143614,-5.775666169155363
ZFPM1,0.0,0.0,0.0
ZFPM2,0.0,0.0,0.0
ZFR,-7.982171116487062,-11.060401020382724,-8.145990614266044
ZFTA,-2.041352239012738,-3.400726681704339,-1.2786933566107304
ZFTRAF1,-5.687491669644255,-7.174875035215512,-5.197042562969044
ZFX,-3.878629830946488,-3.6843260386509793,-3.1938755969481525
ZFY,-4.251154724304833,-5.240912216807061,-5.072370331143281
ZFYVE1,-5.774753362272388,-5.049185222476223,-7.431672243821514
ZFYVE16,-12.01757454617848,-11.531628736105088,-13.140841113012454
ZFYVE21,-5.538132174540073,-7.102061752746391,-4.915544750663034
ZFYVE26,-4.058774575309132,-3.752902655792775,-3.978182583894805
ZFYVE27,-7.174383408315089,-9.711265527977982,-9.108494679160687
ZFYVE28,-10.466323532703267,-4.352610343172059,-8.44248624803446
ZFYVE9,-1.9592578688557225,-5.047590923444477,-3.167798226110491
ZG16,0.0,0.0,0.0
ZG16B,-1.5319220671660023,-0.8703611468992698,-3.5591443140503163
ZGLP1,-1.6687881322150315,-1.7541418129722466,-0.0094097978290167
ZGPAT,-3.787581254609004,-4.698400331588128,-2.1495324269732805
ZGRF1,-4.083870015463298,-5.203136474745785,-10.99372368046492
ZHX1,-5.655652235991796,-12.003899062480857,-9.18615895495172
ZHX1-C8orf76,0.0,0.0,0.0
ZHX2,-4.878553571072376,-6.0210682557504125,-4.045535530519514
ZHX3,-5.805464387534264,-5.730653553188239,-5.407964964116511
ZIC1,0.0,0.0,0.0
ZIC2,0.0,0.0,0.0
ZIC3,0.0,0.0,0.0
ZIC4,0.0,0.0,0.0
ZIC5,0.0,0.0,0.0
ZIK1,-4.960757268720138,-5.35719492314561,-5.704627431069186
ZIM3,-1.646828105277271,0.2695685053096496,-0.3069237863359976
ZKSCAN1,-12.23312241144569,-13.09977249493972,-15.415655364957992
ZKSCAN2,,0.0,0.0
ZKSCAN3,-3.0268966401012354,-2.0482769047450144,-3.249845556403532
ZKSCAN4,-6.287579092500551,-5.904845762251094,-5.074859582808153
ZKSCAN5,-11.056718561683793,-10.02464572513762,-11.339547642031432
ZKSCAN7,-3.075782863002906,-3.4882528795867165,-3.3840933922192376
ZKSCAN8,,0.0,0.0
ZMAT1,-3.504959915104679,-1.7952307509774312,-2.8236972580142514
ZMAT3,-14.690792123986636,-9.76142729935784,-11.781779240604978
ZMAT4,0.0,0.0,0.0
ZMIZ1,-3.091048734900036,1.4667650637396792,-0.9966853788117382
ZMIZ2,-19.55718509220583,-22.95934501325099,-16.36712986974021
ZMPSTE24,-17.45948983129017,-26.95006142155241,-15.49388287531004
ZMYM1,-5.501533141663792,-3.373026553707157,-5.47355538546527
ZMYM2,-13.08861999251485,-18.29199677801317,-22.799013539170723
ZMYM3,-9.606614173130668,-9.526087292521202,-10.710145464685228
