target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
CDK19,8,7.0,0,651.0,False,3,kinase
LRRK2,8,6.666666666666667,0,476.0,False,0,kinase
DBI,8,6.333333333333333,0,835.0,True,3,cytokine
RYK,8,5.666666666666667,0,1595.0,False,3,kinase
P2RX4,8,5.333333333333333,0,511.0,False,3,ion_channel
PHKG2,8,5.333333333333333,0,588.0,False,3,kinase
NEK4,8,5.0,0,165.0,False,3,kinase
EREG,8,4.666666666666667,0,427.0,False,0,cytokine
NIPA2,8,4.666666666666667,0,985.0,False,3,transporter
PIM3,8,4.666666666666667,0,149.0,False,2,kinase
STK16,8,4.666666666666667,0,650.0,False,3,kinase
MAST2,8,4.0,0,303.0,False,3,kinase
UCP2,8,4.0,0,304.0,False,3,transporter
OR4D1,8,3.6666666666666665,0,410.0,False,0,gpcr
TNFSF10,8,3.3333333333333335,0,629.0,False,2,cytokine
ATP6V1G2,8,3.0,0,407.0,False,0,transporter
KCNA3,7,6.333333333333333,0,880.0,False,3,ion_channel
MCOLN2,7,6.333333333333333,0,220.0,False,3,ion_channel
LIF,7,6.0,0,979.0,False,2,cytokine
SFXN2,7,6.0,0,638.0,True,3,transporter
STK36,7,6.0,0,898.0,True,3,kinase
GPR183,7,5.666666666666667,0,357.0,False,3,gpcr
TMEM165,7,5.666666666666667,0,685.0,False,3,transporter
PROK2,7,5.333333333333333,0,502.0,False,0,cytokine
CACNB1,7,5.0,0,368.0,False,3,ion_channel
TNFSF8,7,5.0,0,886.0,False,3,cytokine
AAK1,7,4.666666666666667,0,1244.0,False,3,kinase
ATP9B,7,4.666666666666667,0,309.0,False,3,transporter
FYN,7,4.666666666666667,0,319.0,False,2,kinase
HCN3,7,4.666666666666667,0,408.0,False,0,ion_channel
NEK7,7,4.666666666666667,0,969.0,False,3,kinase
NR2C1,7,4.666666666666667,0,286.0,False,3,nuclear_receptor
PINK1,7,4.666666666666667,0,609.0,False,3,kinase
SLC20A1,7,4.666666666666667,0,598.0,False,3,transporter
SLC25A13,7,4.666666666666667,0,471.0,False,3,transporter
SLC35A5,7,4.666666666666667,0,555.0,True,3,transporter
TRIB3,7,4.666666666666667,0,362.0,False,3,kinase
GPR3,7,4.333333333333333,0,507.0,False,0,gpcr
IL10RA,7,4.333333333333333,0,592.0,False,3,cytokine_receptor
LGR6,7,4.333333333333333,0,1453.0,False,0,gpcr
STK39,7,4.333333333333333,0,1066.0,False,3,kinase
TBK1,7,4.333333333333333,0,455.0,False,3,kinase
UCP3,7,4.333333333333333,0,797.0,False,0,transporter
GDF7,7,4.0,0,409.0,False,0,cytokine
MCOLN1,7,4.0,0,613.0,True,3,ion_channel
KCNQ1,7,3.6666666666666665,0,435.0,False,1,ion_channel
SLC16A6,7,3.6666666666666665,0,748.0,True,3,transporter
ANKH,7,3.3333333333333335,0,351.0,False,3,transporter
TNFRSF13B,7,3.3333333333333335,0,488.0,False,0,cytokine_receptor
PASK,7,3.0,0,319.0,False,3,kinase
SLC6A8,7,3.0,0,1118.0,False,0,transporter
CXCL3,7,2.6666666666666665,0,726.0,False,0,cytokine
PDK4,7,2.6666666666666665,0,398.0,False,0,kinase
CCL22,7,2.3333333333333335,0,456.0,False,0,cytokine
ESR1,7,2.3333333333333335,0,563.0,False,0,nuclear_receptor
FASTK,6,6.0,0,469.0,True,3,kinase
TRPM7,6,6.0,0,34.0,False,0,kinase
MC1R,6,5.666666666666667,0,776.0,False,0,gpcr
ATP9A,6,5.333333333333333,0,2230.0,False,0,transporter
SLC25A42,6,5.0,0,662.0,False,2,transporter
SNRK,6,5.0,0,447.0,False,3,kinase
TBCK,6,4.666666666666667,0,617.0,True,3,kinase
ULK3,6,4.5,0,281.0,False,0,kinase
SLCO3A1,6,4.333333333333333,0,744.0,False,3,transporter
STK38,6,4.333333333333333,0,580.0,False,3,kinase
INSL3,6,4.0,0,1120.0,False,3,cytokine
IRAK1,6,4.0,0,968.0,False,3,kinase
RXRA,6,4.0,0,601.0,False,0,nuclear_receptor
FGF11,6,3.6666666666666665,0,595.0,True,1,cytokine
AQP5,6,3.3333333333333335,0,1092.0,False,0,ion_channel
CLK3,6,3.3333333333333335,0,266.0,False,1,kinase
FPR1,6,3.3333333333333335,0,608.0,False,0,gpcr
IL5,6,3.3333333333333335,0,791.0,False,0,cytokine
SLC49A4,6,3.3333333333333335,0,374.0,True,3,transporter
TESK1,6,3.3333333333333335,0,650.0,False,3,kinase
ABCD3,6,3.0,0,514.0,False,3,transporter
EDN1,6,3.0,0,672.0,False,0,cytokine
