target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
ATF7IP2,Stim8hr,2412.0,2731,-15.165205141858202,False,0.3127628620089985,-0.1684527141872568,True,True,False,True,False
ATG12,Rest,627.0,508,-20.75513434161457,True,0.0377104840326555,,True,False,True,False,False
ATG12,Stim8hr,624.0,177,-19.81573682459544,True,0.3763331556320757,,True,False,False,False,False
ATG14,Stim48hr,234.0,267,-3.601052720856205,False,0.1896012898742923,-0.2311101380069241,True,True,True,True,False
ATG9A,Stim48hr,480.0,80,-11.662132946810209,True,0.149462662089777,,True,False,True,False,False
ATIC,Rest,72.0,63,-7.47903820978668,False,0.2044269492245663,,True,False,False,False,True
ATIC,Stim8hr,73.0,181,-13.209654675301785,False,0.2985570131885557,,True,False,False,False,True
ATL1,Stim8hr,647.0,180,-2.1947464823449963,False,0.0621357977212532,0.1673238818410097,True,True,True,True,False
ATM,Rest,744.0,97,-19.681374934630888,False,0.6662937660863086,0.2296079458855741,True,True,False,False,False
ATM,Stim48hr,866.0,143,-15.85428307718476,False,0.4563922090977079,0.2594344954393018,True,True,False,False,False
ATM,Stim8hr,694.0,71,-14.417877704558215,False,0.5414885327052668,0.257038270449018,True,True,False,False,False
ATP11B,Rest,29.0,51,-3.855919437202896,False,,,False,False,False,False,True
ATP1B3,Rest,206.0,329,-7.891110107386723,False,0.431788855573129,0.4183398037895075,True,True,False,False,False
ATP1B3,Stim48hr,205.0,162,-6.332418052402413,False,0.338991699046368,0.4373975382296935,True,True,False,False,False
ATP1B3,Stim8hr,228.0,216,-11.833498073956582,False,0.2636414563072251,0.4634518597948782,True,True,False,False,False
ATP23,Rest,1014.0,54,-11.874437417595054,False,0.7247955300725156,,True,False,False,False,False
ATP23,Stim48hr,1061.0,97,-15.383683477951289,False,0.6397554883690749,,True,False,False,False,False
ATP23,Stim8hr,1098.0,67,-9.848334081855125,False,0.5061860401004922,,True,False,False,False,False
ATP2A2,Rest,268.0,3519,-10.057253422470598,False,0.6598386913323104,0.7560757020787457,True,True,False,False,False
ATP2A2,Stim48hr,107.0,1566,-10.141806976806311,False,0.5333062143261958,0.627729400410294,True,True,False,False,True
ATP2A2,Stim8hr,248.0,3260,-15.645571410880336,False,0.5621965566378535,0.6496769558085209,True,True,False,False,False
ATP2A3,Stim8hr,315.0,80,-8.800641773558782,False,0.6290729565529111,0.9959832860047514,True,True,False,False,False
ATP2B1,Rest,137.0,486,-1.68999769795854,False,0.1796556058702822,0.0781289016523413,True,True,True,True,True
ATP5F1A,Rest,394.0,114,-14.778224599658907,True,0.2886240896467819,-0.2786392460701319,True,True,False,True,False
ATP5F1A,Stim48hr,371.0,1021,-14.664214044969173,True,0.4817285382198316,0.9033309446637116,True,True,False,False,False
ATP5F1A,Stim8hr,399.0,97,-19.120578107624308,True,0.4683653905881129,0.9113102910545708,True,True,False,False,False
ATP5F1B,Rest,84.0,124,-6.086500401410236,False,-0.0271386126538901,,True,False,True,False,True
ATP5F1E,Stim48hr,249.0,426,-11.135866498250536,False,0.3485002159522604,,True,False,False,False,False
ATP5ME,Rest,234.0,365,-13.448202343992785,False,0.0003341550604081,0.2348564545590124,True,True,True,False,False
ATP5ME,Stim48hr,214.0,733,-13.209834139078133,False,0.526213251891061,0.5941406052229925,True,True,False,False,False
ATP5ME,Stim8hr,252.0,101,-14.038880112479324,True,0.6309607931166555,0.7337755184647295,True,True,False,False,False
ATP5MF,Rest,269.0,96,-10.401304543986823,False,0.2644285261552584,0.2726802794128299,True,True,False,False,False
ATP5MF,Stim48hr,160.0,689,-8.254787247898571,False,0.5062604093145319,0.735688310131797,True,True,False,False,True
ATP5MF-PTCD1,Stim48hr,211.0,114,0.0,False,0.5383418815995112,,True,False,False,False,False
ATP5PD,Rest,81.0,59,-8.844243560701779,True,0.2928993161920415,,True,False,False,False,True
