,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16573,ADORA2A,1.192542286903376,0.13156519170186803,1.2372684212564518,0.10633520539404294,0.9153164000590301,0.9994290447843712,cytotoxic_vs_rest,0.10633520539404294
16574,SELO,3.5764658992446163,0.07050753786728235,0.6630776924126511,0.10633375043991619,0.9153175543999038,0.9994290447843712,cytotoxic_vs_rest,0.10633375043991619
16575,METTL9,112.56646446022162,-0.05040899986127103,0.4741516596782316,-0.1063140850239342,0.9153331566917811,0.9994290447843712,cytotoxic_vs_rest,-0.1063140850239342
16577,IL2RG,635.5875645092447,-0.02899839041892586,0.27283200597913626,-0.10628661514567099,0.9153549509997548,0.9994290447843712,cytotoxic_vs_rest,-0.10628661514567099
16581,CAT,52.91880364665045,-0.037398094762425844,0.3526041246010836,-0.10606255614490029,0.9155327193922776,0.9994290447843712,cytotoxic_vs_rest,-0.10606255614490029
16582,CCDC58,9.26168698340525,-0.05356121520023692,0.5050775468687536,-0.10604552812195196,0.9155462295971055,0.9994290447843712,cytotoxic_vs_rest,-0.10604552812195196
16586,LINC00667,26.34418232423287,-0.029985665918589234,0.28312603036395645,-0.10590925136781976,0.9156543538243,0.9994290447843712,cytotoxic_vs_rest,-0.10590925136781976
16587,NDUFA1,352.98934216007103,-0.03428646405173068,0.32423997398452115,-0.10574409944088964,0.9157853901818369,0.9994290447843712,cytotoxic_vs_rest,-0.10574409944088965
16588,MLST8,7.922334529060364,0.042767900915445425,0.40448241243768107,0.10573488389197813,0.9157927021346722,0.9994290447843712,cytotoxic_vs_rest,0.10573488389197815
16589,SPG20,15.593078296043307,0.06521437733606966,0.616998071393235,0.1056962417869637,0.915823362268632,0.9994290447843712,cytotoxic_vs_rest,0.1056962417869637
16590,N4BP2,22.351032149837867,-0.03246607132327733,0.30747947902405076,-0.10558776613751795,0.915909431694584,0.9994290447843712,cytotoxic_vs_rest,-0.10558776613751795
16592,PSMB2,160.7644112338297,0.02726496903832411,0.2585222540837902,0.10546468865882316,0.9160070880578827,0.9994290447843712,cytotoxic_vs_rest,0.10546468865882318
16593,KMT2E,307.6372887749488,-0.022825447054361306,0.21649738585136455,-0.10543058967941549,0.9160341442664122,0.9994290447843712,cytotoxic_vs_rest,-0.10543058967941547
16594,MSI2,56.48793396170929,-0.02203010934264063,0.20904200080035665,-0.10538604327500793,0.9160694902452197,0.9994290447843712,cytotoxic_vs_rest,-0.10538604327500795
16595,ORC6,3.684126202054656,0.058503818182640395,0.5560125197364039,0.10522032527320799,0.9162009830094662,0.9994290447843712,cytotoxic_vs_rest,0.105220325273208
16597,FBXW5,54.15504590344945,0.019415736402396386,0.18463612607060012,0.10515675786531781,0.9162514226415528,0.9994290447843712,cytotoxic_vs_rest,0.1051567578653178
16598,IFIT1,13.194935161634783,-0.12188626944408129,1.1594462894531674,-0.10512455001392676,0.9162769791399218,0.9994290447843712,cytotoxic_vs_rest,-0.10512455001392675
16600,ASB16-AS1,7.883929200102231,-0.04809356692947777,0.45767624853403654,-0.10508206856598795,0.9163106877317754,0.9994290447843712,cytotoxic_vs_rest,-0.10508206856598795
16601,KLC1,16.624361131660244,0.04104620291787943,0.39103111648300937,0.10496914743526024,0.9164002902186171,0.9994290447843712,cytotoxic_vs_rest,0.10496914743526023
16602,TPI1,477.4302854742908,0.031242389028174604,0.2976427080689288,0.10496608242436573,0.9164027223078903,0.9994290447843712,cytotoxic_vs_rest,0.10496608242436573
16605,FAF2,14.74113887871938,0.034675866083087925,0.33106394871738026,0.10474068897392906,0.916581574383811,0.9994290447843712,cytotoxic_vs_rest,0.10474068897392906
16606,WDR11,10.955054316576623,0.04016564141081819,0.38401588840611633,0.10459369683251485,0.9166982164708869,0.9994290447843712,cytotoxic_vs_rest,0.10459369683251485
16607,FAM65A,1.4821870435767512,-0.08766875132706137,0.8382882567100605,-0.10458067451776727,0.9167085501028248,0.9994290447843712,cytotoxic_vs_rest,-0.10458067451776727
16608,POLR2M,20.708789291855137,0.028975435040976737,0.2770993825217769,0.1045669419299395,0.9167194473748881,0.9994290447843712,cytotoxic_vs_rest,0.1045669419299395
16610,RP11-112J3.16,2.0858214263798396,-0.08573327697833649,0.8208262986538213,-0.10444752698462699,0.9168142078249705,0.9994290447843712,cytotoxic_vs_rest,-0.10444752698462699
16611,LINC00659,1.263364867241575,0.13744158210010327,1.317513689130305,0.1043189025161696,0.9169162777155663,0.9994290447843712,cytotoxic_vs_rest,0.1043189025161696
16612,VAMP4,28.680800424934578,0.02922066860697118,0.280183496727513,0.10429118398571909,0.916938273922693,0.9994290447843712,cytotoxic_vs_rest,0.10429118398571907
16613,DGCR6,4.411493229179527,-0.06230701788495795,0.5979809867193573,-0.10419565047843185,0.9170140856011062,0.9994290447843712,cytotoxic_vs_rest,-0.10419565047843185
16615,ARL1,35.31168053245036,-0.027264103208193922,0.26188900862661707,-0.10410556499171435,0.9170855746334683,0.9994290447843712,cytotoxic_vs_rest,-0.10410556499171435
16618,KDM5C,8.93741016221949,0.05461174806958278,0.5257145170653521,0.10388099680875644,0.9172637878564622,0.9994290447843712,cytotoxic_vs_rest,0.10388099680875644
16619,UBE2L3,87.18424226979437,0.029655282350631685,0.28615829102318563,0.10363244148752937,0.9174610416827729,0.9994290447843712,cytotoxic_vs_rest,0.10363244148752937
16620,GRIPAP1,21.062789611341426,0.029066139145448137,0.28101484693777445,0.1034327526185273,0.9176195187103919,0.9994290447843712,cytotoxic_vs_rest,0.10343275261852729
16621,UNC119B,1.2149251754790769,-0.09522926789801832,0.9206946361964894,-0.10343197858893036,0.9176201330019294,0.9994290447843712,cytotoxic_vs_rest,-0.10343197858893036
16622,SCMH1,2.362314671300566,0.0739167218729765,0.7147503557596692,0.10341613862425357,0.9176327040517338,0.9994290447843712,cytotoxic_vs_rest,0.10341613862425357
