variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
IRF8,30.811259812789757,-4.433922323481748,0.2049769207453325,-21.63132467479372,9.112858161351875e-104,2.1533772309625562e-101,Th2_vs_Th1,-21.63132467479372
GLB1,629.3625355317323,0.6683714038129994,0.030903749926331762,21.62751787101114,9.896692598568039e-104,2.3161115495821876e-101,Th2_vs_Th1,21.62751787101114
ENG,97.26914932940186,-1.5718229168595161,0.07284052128328951,-21.578963043748992,2.831467641092939e-103,6.563341992053433e-101,Th2_vs_Th1,-21.578963043748992
SMAD3,611.6760731410684,-1.0635479686244584,0.049410126532465515,-21.524898705240947,9.101906892058747e-103,2.0899180362813006e-100,Th2_vs_Th1,-21.52489870524095
KLF7,365.60823152906636,1.3263158361501135,0.06164322812721166,21.516002267321678,1.1027045315209906e-102,2.5082921114662984e-100,Th2_vs_Th1,21.516002267321678
RTKN2,221.11230517370078,2.818143285941284,0.1310612649682914,21.502488066348953,1.4756103478309715e-102,3.325451875542409e-100,Th2_vs_Th1,21.502488066348953
ANKRD55,456.3453785921908,2.0804606215499497,0.09685316189172358,21.48056481496999,2.3661201691180115e-102,5.283394384969108e-100,Th2_vs_Th1,21.48056481496999
MRPL10,467.0020219976618,-0.7540048135256514,0.03520503653009284,-21.417526804187155,9.173171324087359e-102,2.029689244154202e-99,Th2_vs_Th1,-21.41752680418716
ENPP5,38.121409292998095,-4.463127543020747,0.20843399400799753,-21.412666222043885,1.0181770238298438e-101,2.2325595119814927e-99,Th2_vs_Th1,-21.412666222043885
EPHA1,383.5484773581961,1.371505438430254,0.06436302698324758,21.308902062471823,9.387079775734366e-101,2.0399297737642744e-98,Th2_vs_Th1,21.308902062471823
CDKN2C,68.12235854151844,-1.3686234400945736,0.06424925782113122,-21.30177820738096,1.0929256977828066e-100,2.3540458901182063e-98,Th2_vs_Th1,-21.301778207380956
RHOC,77.31840070648911,-2.0151916336510753,0.09488503149287073,-21.2382459271512,4.234073265593324e-100,9.039746422041746e-98,Th2_vs_Th1,-21.238245927151205
GCSAM,495.4734978131959,1.2441423457354892,0.05868656288691325,21.199782105707975,9.593958570639728e-100,2.0304987621808723e-97,Th2_vs_Th1,21.199782105707975
GPR146,53.72385436538082,1.4808326168046844,0.06998356037197233,21.159721067831555,2.245469117541274e-99,4.71142007343423e-97,Th2_vs_Th1,21.159721067831555
IFNGR1,748.5935538162132,-0.8641867263752613,0.04138851428573028,-20.879868274788766,8.161654389830225e-97,1.6978333862741695e-94,Th2_vs_Th1,-20.879868274788766
PERP,103.37230711622102,-2.1021083296778698,0.10089409024024376,-20.83480137114512,2.093815918310005e-96,4.3187614945548484e-94,Th2_vs_Th1,-20.834801371145115
GALNT10,546.1704522703676,-1.1748008723684604,0.05640430008186736,-20.82821470461134,2.4025078835937584e-96,4.913835241914999e-94,Th2_vs_Th1,-20.82821470461134
CERKL,611.5978255610273,-1.664512482093845,0.08020592598892198,-20.752986285873025,1.152085626793299e-95,2.3367176725435086e-93,Th2_vs_Th1,-20.75298628587303
E2F3,134.455836873998,-1.6037895884415874,0.07757488734616792,-20.67408208129112,5.928377607102958e-95,1.1924858064403213e-92,Th2_vs_Th1,-20.674082081291118
PIGC,766.1579915339405,0.5459867739619486,0.026556993055946193,20.559058505296424,6.386014583867713e-94,1.274009909481609e-91,Th2_vs_Th1,20.559058505296424
AKAP12,13.941915409885786,5.81850287965832,0.2837079551287802,20.50877592423235,1.797615241255994e-93,3.557085963978019e-91,Th2_vs_Th1,20.508775924232353
STAT4,2403.9498604722035,-0.8695770303876115,0.04248094023233844,-20.469816007642166,4.00128158799077e-93,7.853805852428012e-91,Th2_vs_Th1,-20.469816007642166
RDM1,6.719067055318059,-4.319473442347001,0.21261784853485768,-20.315667156413934,9.347140045592427e-92,1.8200003325573925e-89,Th2_vs_Th1,-20.315667156413937
