variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ZCCHC18,48.69785720996249,-2.955747643833906,0.35600583256615037,-8.302525895512375,1.0192092630570656e-16,5.082592753012975e-14,Th2_vs_Th1,-8.302525895512375
SMAD3,1484.623303964969,-1.1285335700637282,0.13674778402406274,-8.252664407820651,1.5490158156310232e-16,7.427530835950757e-14,Th2_vs_Th1,-8.252664407820653
GALNT10,1049.0300883193154,-0.830006530062579,0.10173802763774342,-8.158272273745728,3.3985073768498123e-16,1.5692293135995043e-13,Th2_vs_Th1,-8.15827227374573
ENC1,244.8806933643261,-3.651676418796871,0.4489052297726383,-8.134626590664523,4.132099945940704e-16,1.8398175009300985e-13,Th2_vs_Th1,-8.134626590664523
PDZD8,803.6012918609746,-0.7797172718706085,0.09612037204583088,-8.111883623367934,4.984102477904472e-16,2.142648468690864e-13,Th2_vs_Th1,-8.111883623367934
PPP2R2B,91.11182666746328,-3.0451245012784884,0.3821607368405154,-7.9681772817736904,1.6103174813390764e-15,6.691942679951422e-13,Th2_vs_Th1,-7.9681772817736904
CXCR6,296.96991315749375,-3.9249483061487465,0.4939259349142757,-7.946430889137151,1.919618940627126e-15,7.719964300902704e-13,Th2_vs_Th1,-7.946430889137151
ZNF532,217.75699004077725,-2.177311781045081,0.2761753824395082,-7.883801089773042,3.1756966458144114e-15,1.2372315651052583e-12,Th2_vs_Th1,-7.8838010897730415
IL12RB2,107.40315145653128,-4.654352561264419,0.5919797770038964,-7.862350610726663,3.769910480908357e-15,1.4242264838025603e-12,Th2_vs_Th1,-7.862350610726664
AKAP12,22.49342747321349,5.064114257499824,0.644853925815549,7.853118442436744,4.058180829442976e-15,1.4880394235489875e-12,Th2_vs_Th1,7.853118442436744
FLT4,41.78148520129034,-3.690180873705354,0.47184734704924153,-7.820709169570154,5.25265727514444e-15,1.8709965214064496e-12,Th2_vs_Th1,-7.820709169570154
PRF1,265.94542833116213,-2.0506990250380803,0.26462660662749704,-7.749406044890856,9.232336037047601e-15,3.1972092603853453e-12,Th2_vs_Th1,-7.749406044890856
ARHGEF12,458.58535242570827,-1.511511391949744,0.19743640133661022,-7.655687511102683,1.922807625940491e-14,6.4788223439459735e-12,Th2_vs_Th1,-7.655687511102683
ARHGAP26,216.92032330413755,-1.6829603869711218,0.2264122148167948,-7.433169576707321,1.0602583242830041e-13,3.47848434969374e-11,Th2_vs_Th1,-7.433169576707322
