variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
AOAH,3.5335896133500184,1.4714886815946855,0.11727615487416797,12.547211180086238,4.117578658449915e-36,1.5889588400695569e-34,CytotoxicCD4,12.547211180086238
TMEM273,4.785200117706037,1.4245934081275724,0.1135722217158867,12.54350215752007,4.314961074079339e-36,1.6585203556957332e-34,CytotoxicCD4,12.543502157520068
RAB27A,15.66876647883893,0.6417835897768148,0.05117833038011129,12.54014316235338,4.501815441084305e-36,1.723501358195359e-34,CytotoxicCD4,12.54014316235338
SARAF,417.19058858984295,-0.26899679614926725,0.021516316121781405,-12.501991262201075,7.280449359364608e-36,2.7763162399529757e-34,CytotoxicCD4,-12.501991262201075
GCSAM,7.139157291782899,-0.9711521758298323,0.07774912812011468,-12.490843297039916,8.376106823890784e-36,3.181606693968868e-34,CytotoxicCD4,-12.490843297039918
TSPAN32,14.37466552742897,0.6677250906706799,0.05347545300993088,12.486571933232192,8.838037125852924e-36,3.3439542031645088e-34,CytotoxicCD4,12.486571933232192
CFH,3.133069159358094,1.731566941338711,0.1388881383993556,12.467349345268097,1.1250648167012728e-35,4.240224830571412e-34,CytotoxicCD4,12.467349345268097
CISD3,18.495229736518944,0.5336794170616396,0.04287242525378175,12.44808087955239,1.4324827045522004e-35,5.377917626470005e-34,CytotoxicCD4,12.44808087955239
SRSF5,289.2544875378446,-0.2785462102379843,0.022382616203578825,-12.444756578252308,1.493389679588614e-35,5.584931442662284e-34,CytotoxicCD4,-12.44475657825231
IL18R1,3.1913048939579767,1.320878904971272,0.10634972134412836,12.420144484414285,2.031941966642944e-35,7.569765341885983e-34,CytotoxicCD4,12.420144484414283
FOSB,194.0931284301658,0.3575713150785583,0.0288121282819434,12.410444364939496,2.2937620569130003e-35,8.493576104660859e-34,CytotoxicCD4,12.410444364939496
TMED2,85.7803367301992,0.2413931353915423,0.019451007151114696,12.410315492465827,2.297457092113509e-35,8.493576104660859e-34,CytotoxicCD4,12.410315492465827
GAS7,1.4421782135888568,1.9424727399844737,0.15662438808137077,12.402109044316294,2.545347001298129e-35,9.374232340142082e-34,CytotoxicCD4,12.402109044316294
IFITM2,218.19271724320356,0.37607906689821174,0.03032932045255509,12.399851407370685,2.618086368139387e-35,9.605600212802311e-34,CytotoxicCD4,12.399851407370685
LY6E,157.61331370694717,0.2556764792289354,0.020638668248718822,12.388225642650509,3.0266609413733714e-35,1.1062731274770746e-33,CytotoxicCD4,12.388225642650509
