variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
SLAMF1,5598.087457535383,-1.3267115863430585,0.2503380770490748,-5.299679545285386,1.1600610826016335e-07,4.871177420338394e-06,Th2
MDM1,1404.0154086805385,-0.6323413137785653,0.11945365983284596,-5.293611888186715,1.199238105553279e-07,5.012371118951391e-06,Th2
MB21D2,2640.6546468155825,-0.7244128255837918,0.13691425460621587,-5.290996380671262,1.2165177403432411e-07,5.061162285630775e-06,Th2
KPNA6,4732.530605391321,0.40763338468112886,0.07711187631480312,5.28625944746822,1.2484279761200238e-07,5.1700953066108145e-06,Th2
WNT5B,144.89210193106211,2.6176964556412567,0.49542820395956183,5.283704954058126,1.2659708376990767e-07,5.218805809473636e-06,Th2
SLC47A1,42.66984582836193,4.336562966769066,0.8210559520586574,5.281689945607089,1.2799768413032952e-07,5.252559510584613e-06,Th2
NME7,1803.3462141657878,0.5570043603825483,0.10563530209939022,5.272899772260542,1.3428490766552493e-07,5.4856296217391805e-06,Th2
TMEM98,167.15503402709086,1.5103506998949305,0.28671517076975134,5.2677739229495755,1.380880190073833e-07,5.613506100232369e-06,Th2
PALS1,1146.0054790786455,0.5745200752127853,0.1090788468318971,5.267016400514263,1.38658823698695e-07,5.613506100232369e-06,Th2
PAK3,18.137580162041434,4.488242411094171,0.8524678883347806,5.2649988023144765,1.4019027140928681e-07,5.650168617335006e-06,Th2
IL13,9465.773479782922,-1.0651571302445408,0.20244865620851463,-5.261369229082303,1.4298656813732376e-07,5.737256609527817e-06,Th2
VEGFC,13.589880901772146,4.378563849209279,0.8336448316764636,5.252313314776949,1.5020067354742298e-07,6.000051684894402e-06,Th2
PELI1,1184.68264445423,-0.7324770251590604,0.13983711012272768,-5.238073244764597,1.6226166923157988e-07,6.4532966952542e-06,Th2
KIF3A,2589.014320488374,-0.6171309197630439,0.11783635956074812,-5.237185891209536,1.6304345584164783e-07,6.455948769028056e-06,Th2
LEUTX,21.028603291330796,2.527276187311875,0.4841271695417717,5.220273403998275,1.7865918163631336e-07,7.043384680404528e-06,Th2
SGTB,1961.8080061141286,-0.4891023987959515,0.09422151086245156,-5.190984461180667,2.0918508511581187e-07,8.21096934098065e-06,Th2
PRKD3,1115.2322062597202,-0.6790042186796517,0.13087373023067944,-5.188239209525331,2.1229179607156852e-07,8.296841276771086e-06,Th2
