target_gene,directionality_index,binom_fdr,binom_p,footprint_class,signed_net,primary_rank,n_hits,neglog10fdr
RBPJ,0.5126050420168067,1.3340103712052643e-14,9.958053641841896e-16,net_derepressed_on_KO,122,234.0,238,13.874840794002896
PARP14,0.5123830489818382,1.658780458391187e-108,1.3605332300876936e-110,net_derepressed_on_KO,931,235.0,1817,107.78021108957452
RNFT1,0.5119266055045871,8.859828664480355e-33,3.412965055527406e-34,net_derepressed_on_KO,279,236.0,545,32.052574676622
CBX3,0.511864406779661,6.128783224789436e-18,3.9254486602420593e-19,net_derepressed_on_KO,151,237.0,295,17.212625739382542
L3MBTL2,0.5106035889070146,7.978097193990454e-73,1.2646140607928838e-74,net_derepressed_on_KO,626,238.0,1226,72.09810067715671
RAB11FIP1,0.5102439024390244,7.020361235741455e-61,1.4621708960257753e-62,net_derepressed_on_KO,523,239.0,1025,60.15364054048374
ALDH18A1,0.5096774193548387,1.1639082975183555e-18,7.154426637588636e-20,net_derepressed_on_KO,158,240.0,310,17.934081235709
DPM2,0.5081967213114754,0.000542093407068,8.837556327558756e-05,net_derepressed_on_KO,31,241.0,61,3.265925874570353
CLUH,-0.5061728395061729,8.0382665757857e-10,7.681948612192213e-11,net_reduced_on_KO,-82,242.0,162,9.09483759524861
INPP5F,0.5048543689320388,2.5820220354720834e-12,2.1653672954378361e-13,net_derepressed_on_KO,104,243.0,206,11.588040055701242
MTERF2,0.504424778761062,6.201242560191726e-07,7.343651912124567e-08,net_derepressed_on_KO,57,244.0,113,6.207521280990972
COP1,0.5,9.766405898372889e-19,5.976309571946916e-20,net_derepressed_on_KO,162,245.0,324,18.01026523010715
CARD6,0.5,3.0052691299104734e-09,2.9939138599513607e-10,net_derepressed_on_KO,78,246.0,156,8.522116629684088
FANCE,0.5,1.1535263221107317e-07,1.2841763866093117e-08,net_derepressed_on_KO,64,247.0,128,6.937972490941748
SSR3,0.5,1.1535263221107317e-07,1.2841763866093117e-08,net_derepressed_on_KO,64,248.0,128,6.937972490941748
TGFBRAP1,0.5,0.0013460169507059,0.0002344458609191,net_derepressed_on_KO,28,249.0,56,2.8709494709057393
CHD7,0.4967119684348969,6.865278044189689e-255,1.0122979329742422e-257,net_derepressed_on_KO,2266,250.0,4562,254.1633418691174
RPTOR,0.4949720670391061,1.7722927297885878e-99,1.812961874541823e-101,net_derepressed_on_KO,886,251.0,1790,98.75146454405609
FNBP4,0.4921722113502935,3.7070769893016597e-112,2.801403678211557e-114,net_derepressed_on_KO,1006,252.0,2044,111.43096839436383
MOB1A,0.492063492063492,4.412949349742517e-21,2.4360488991758993e-22,net_derepressed_on_KO,186,253.0,378,20.355271057201247
LRBA,0.4902204284383731,3.553340413406804e-175,1.342613187260888e-177,net_derepressed_on_KO,1579,254.0,3221,174.44936318469126
CAMK1,0.4890510948905109,7.972367958734357e-08,8.691651732727622e-09,net_derepressed_on_KO,67,255.0,137,7.098412664969033
THAP11,0.4888956495284454,1.015194553665929e-177,3.461634732802449e-180,net_derepressed_on_KO,1607,256.0,3287,176.99345072081798
LAT2,0.4878892733564013,1.880193860172072e-31,7.433445452159423e-33,net_derepressed_on_KO,282,257.0,578,30.72579736985204
JOSD2,0.4854368932038835,2.1761121508549075e-11,1.9232250969218098e-12,net_derepressed_on_KO,100,258.0,206,10.662318726050003
TMED2,0.4841849148418491,3.8680538870319944e-22,2.035442603903114e-23,net_derepressed_on_KO,199,259.0,411,21.41250748425873
FPGS,0.4834437086092715,2.1889437857323642e-08,2.27145028360026e-09,net_derepressed_on_KO,73,260.0,151,7.6597653914059
SLC25A26,0.4832214765100671,3.994123169883163e-16,2.7864263566505894e-17,net_derepressed_on_KO,144,261.0,298,15.398578546582042
SCYL3,0.4814363968350578,3.4157048479345844e-86,4.092172428637876e-88,net_derepressed_on_KO,791,262.0,1643,85.46651966387628
PCNX3,0.4805194805194805,1.8367434476984447e-12,1.5352744512602428e-13,net_derepressed_on_KO,111,263.0,231,11.735951500760017
TASOR,0.4803921568627451,1.8243466788301086e-53,4.5058050864111065e-55,net_derepressed_on_KO,490,264.0,1020,52.738892629605985
NFKBIL1,0.4768089053803339,1.3117031591600563e-55,3.0704322405921516e-57,net_derepressed_on_KO,514,265.0,1078,54.88216443548223
COMMD8,0.4755043227665706,4.245703829131549e-18,2.695871291375575e-19,net_derepressed_on_KO,165,266.0,347,17.37205030453179
PSIP1,0.4753722794959908,7.92432275756968e-45,2.2857921142008195e-46,net_derepressed_on_KO,415,267.0,873,44.10103784396428
