gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
CARD6,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,False,32.0,55.0,23.0,78.0,1.256,3.3903e-13,78.0
CARM1,False,小分子 (胞內可成藥口袋),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0,False,271.0,108.0,203.0,379.0,0.099,0.99998,379.0
CARMIL2,False,待新模態 (無已知遞送方式),mixed,other(其他),caution,1,泛效應(breadth top10%),0,False,2459.0,86.0,2545.0,1918.0,,,2545.0
CARNMT1,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,45.0,13.0,47.0,58.0,,,58.0
CASC3,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,211.0,1239.0,1431.0,1028.0,0.379,0.61338,1431.0
CASK,False,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.07); 劑量敏感(pLI 1.00),0,False,104.0,121.0,17.0,170.0,0.073,1.0,170.0
CASP9,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,753.0,754.0,1.0,4.0,0.974,7.3826e-06,754.0
CATSPERG,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,late_sustained(晚期持續),clear,0,,0,False,218.0,5.0,13.0,223.0,0.857,8.5007e-21,223.0
CAV1,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,94.0,95.0,1.0,10.0,1.31,0.008274,95.0
CBFA2T2,False,待新模態 (無已知遞送方式),repressor,other(其他),high_risk,2,高遺傳約束(LOEUF 0.26); 劑量敏感(pLI 1.00),0,False,298.0,300.0,2.0,2.0,0.263,0.99585,300.0
CBLB,True,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.27); 劑量敏感(pLI 1.00),0,True,1022.0,6.0,1028.0,180.0,0.266,0.99825,1028.0
CBLL1,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0,False,230.0,302.0,532.0,232.0,0.145,0.99918,532.0
CBX3,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,False,66.0,66.0,97.0,132.0,0.668,0.40951,132.0
CBX5,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),caution,1,劑量敏感(pLI 0.93),0,True,513.0,49.0,233.0,562.0,0.35,0.93174,562.0
CCDC134,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,103.0,9.0,32.0,112.0,1.542,6.0044e-07,112.0
CCDC136,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,246.0,17.0,38.0,263.0,0.722,9.1226e-14,263.0
CCDC138,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,784.0,178.0,962.0,16.0,0.913,3.4656e-11,962.0
CCDC22,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0,False,503.0,116.0,1.0,619.0,0.123,0.99979,619.0
CCDC6,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,83.0,102.0,185.0,145.0,0.43,0.57714,185.0
CCDC90B,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,105.0,1.0,1.0,106.0,1.099,9.9297e-06,106.0
CCDC93,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,301.0,102.0,92.0,403.0,0.605,6.7876e-08,403.0
CCL5,False,小分子 (胞內可成藥口袋),activator,other(其他),clear,0,,0,False,95.0,98.0,20.0,3.0,1.818,0.0017516,98.0
