target,pass_fraction,in_baseline,stability_class
ASPSCR1,0.0,False,NEVER
ASRGL1,0.0,False,NEVER
ASTE1,0.0,False,NEVER
ASTL,0.0,False,NEVER
ASXL1,1.0,True,CORE
ASXL2,0.0,False,NEVER
ATAD1,0.0,False,NEVER
ATAD2,0.0,False,NEVER
ATAD2B,0.0,False,NEVER
ATAD3A,0.8333,True,BOUNDARY
ATAD3B,0.0,False,NEVER
ATAD5,0.0,False,NEVER
ATAT1,0.0,False,NEVER
ATE1,0.0,False,NEVER
ATF1,0.0,False,NEVER
ATF2,0.0,False,NEVER
ATF3,0.0,False,NEVER
ATF4,0.4667,True,BOUNDARY
ATF6,0.0,False,NEVER
ATF6B,0.0667,False,FRAGILE
ATF7,0.0,False,NEVER
ATF7IP,0.6,True,BOUNDARY
ATF7IP2,1.0,True,CORE
ATG10,0.0,False,NEVER
ATG101,0.1667,False,BOUNDARY
ATG12,0.0,False,NEVER
ATG13,0.0,False,NEVER
ATG14,0.5,True,BOUNDARY
ATG16L1,0.0,False,NEVER
ATG16L2,0.0,False,NEVER
ATG2A,0.0,False,NEVER
ATG2B,0.0,False,NEVER
ATG3,0.1667,False,BOUNDARY
ATG4A,0.0,False,NEVER
ATG4B,0.0,False,NEVER
ATG4C,0.0,False,NEVER
ATG4D,0.0,False,NEVER
ATG5,0.0,False,NEVER
ATG7,0.0,False,NEVER
ATG9A,0.0,False,NEVER
ATG9B,0.0,False,NEVER
ATIC,0.0,False,NEVER
ATL1,0.0,False,NEVER
ATL2,0.0,False,NEVER
ATL3,0.0,False,NEVER
ATM,1.0,True,CORE
ATMIN,0.0,False,NEVER
ATN1,0.0,False,NEVER
ATOH1,0.0,False,NEVER
ATOH7,0.0,False,NEVER
ATOH8,0.0,False,NEVER
ATOSA,0.0,False,NEVER
ATOSB,0.0,False,NEVER
ATOX1,0.0,False,NEVER
ATP10A,0.0,False,NEVER
ATP10D,0.0,False,NEVER
ATP11A,0.0,False,NEVER
ATP11B,0.0,False,NEVER
ATP13A1,0.0,False,NEVER
ATP13A2,0.0,False,NEVER
ATP13A3,0.2,False,BOUNDARY
ATP1A3,0.0,False,NEVER
ATP1B1,0.0,False,NEVER
ATP1B3,0.5,True,BOUNDARY
ATP23,0.8,True,BOUNDARY
ATP2A2,0.6667,True,BOUNDARY
ATP2A3,0.6667,True,BOUNDARY
ATP2B1,0.2667,False,BOUNDARY
ATP2B4,0.0,False,NEVER
ATP2C1,0.0,False,NEVER
ATP5F1A,0.0,False,NEVER
ATP5F1B,0.0,False,NEVER
ATP5F1C,0.0,False,NEVER
ATP5F1D,0.1,False,BOUNDARY
ATP5F1E,0.5,True,BOUNDARY
ATP5IF1,0.0,False,NEVER
