landmark_gene,SENP5,PLCG1,CCNC,PMVK
MALT1,0.09239346,0.39969403,-0.16578645,-0.2155
YKT6,0.12198389,-0.4029,0.1708482,-0.46025002
KIF2C,-0.29206437,-0.007084796,-0.30417356,-0.5928
NNT,-0.09633024,-0.31432083,-0.055768356,0.36475
IQGAP1,-0.038550097,-0.20909888,-0.16832007,0.13409999
HSPA4,-0.0972295,0.1651054,0.51571393,0.3528
TOP2A,-0.07783589,0.060538616,-0.54314226,-0.81794995
B4GAT1,-0.4241801,-0.25975436,-0.59006333,-0.59319997
SCP2,-0.08922647,-0.6241571,-0.45215008,-1.0187
RAD9A,0.33622938,-0.41203636,0.20190293,0.4076
DRAP1,-0.47412613,0.09182739,-1.0444267,0.3574
PCMT1,-0.048988752,0.20212498,-0.7337092,-0.2156
MYC,0.33236724,0.50411725,-0.50511736,-0.8005
POLB,0.03601994,0.55641663,-0.18559144,-0.013250008
CETN3,0.22802696,-0.3200022,-0.17040358,-0.4158
SMC4,-0.3110502,0.19779898,-0.6998217,-0.11919999
SMARCD2,-0.00983512,0.09424322,-0.024017304,0.17275
MPZL1,-0.017784387,0.32310504,0.09562747,-0.52905
EBNA1BP2,0.074486166,-0.002724994,-0.086840376,-0.41050002
TATDN2,-0.21134591,0.071531564,-0.0791301,0.093600005
LRPAP1,-0.05748181,-0.56913716,0.151654,0.31245
TBPL1,0.10358851,-0.16464274,0.3801337,0.36615002
RAE1,-0.2611364,-0.053818844,0.66357577,-0.31994998
CDK1,-0.24391913,0.17443416,-0.10950664,-0.90405
SLC35A1,0.45326713,0.09674947,0.64703125,0.2911
NIPSNAP1,0.4306195,-0.257938,-0.40619075,-0.40429997
BCL7B,-0.10565786,0.062652156,-0.5889853,0.2186
TIMELESS,-0.37445146,0.2306,-0.78254455,0.329
DHX29,-0.012148257,0.27416226,1.0444865,-0.18689999
TCEA2,-0.15848452,-0.12061231,-0.15156013,0.10129999
FHL2,-0.50218064,-0.014111757,0.050016608,0.68619996
FKBP4,-0.16999616,0.2724019,0.0008420844,-0.10295
KAT6A,0.3801856,0.08547963,0.0293113,0.35245
MAP3K4,-0.30189398,0.02880001,-0.41229856,-0.3445
ZFP36,0.07414489,-0.02077094,0.5654992,0.16055
INPP1,-0.3462042,-0.040302902,-0.4273538,-0.3402
EPB41L2,-0.41852814,-0.38546985,-0.52321404,-0.4208
GNAI2,-0.13540687,-0.23731524,-0.3650551,-0.050349995
TSTA3,-0.76440585,-0.5602372,-0.42713526,-0.28505
DNMT1,-0.32757062,0.32287592,0.36758053,0.60749996
RAB27A,-0.3712921,-0.06045892,0.39758712,0.393
DDR1,0.20710047,-0.24983928,0.19181588,0.42139998
LPGAT1,-0.3910246,-0.08862501,-1.0281211,-0.030249983
